node1,node2,weight
4,1,1.0
1,60,0.9
1,41,0.9
57,1,0.85
17,1,0.95
8,1,0.65
9,1,1.0
74,1,0.55
13,1,0.9
1,57,0.8
1,61,0.75
1,76,0.6
1,23,0.8
1,54,0.55
1,34,0.55
1,10,0.85
19,4,0.65
72,4,0.7
61,4,0.65
7,4,0.7
57,4,0.6
1,35,0.7
78,1,0.55
31,1,0.65
2,1,0.9
1,36,0.65
6,1,0.9
4,57,0.75
33,57,0.55
7,57,0.7
64,57,0.65
36,1,0.7
1,68,0.6
1,21,0.8
1,39,0.9
1,33,0.85
1,6,0.9
47,1,0.6
60,41,0.55
60,77,0.7
60,21,0.55
60,7,0.85
60,78,0.55
23,1,0.85
29,1,0.7
32,1,0.55
77,1,0.65
45,54,0.6
62,54,0.6
7,54,0.75
13,54,0.6
39,1,0.9
60,1,0.85
41,1,0.9
19,1,0.95
10,1,0.9
5,1,0.65
35,1,0.55
1,78,0.55
19,7,0.95
34,7,0.55
68,7,0.6
23,7,0.75
1,31,0.6
1,19,0.8
1,4,1.0
33,7,0.6
21,1,0.9
33,1,0.9
41,36,0.6
21,36,0.6
7,36,0.65
15,36,0.55
33,35,0.7
33,51,0.55
39,21,0.6
39,7,0.65
39,44,0.55
39,69,0.6
