node1,node2,weight
35,1,0.55
35,33,0.65
4,35,0.75
65,35,0.6
56,35,0.6
36,35,0.6
79,35,0.55
35,79,0.55
5,1,0.65
76,1,0.6
13,1,0.9
2,1,0.9
75,1,0.6
35,13,0.65
35,65,0.55
35,28,0.55
35,26,0.55
35,56,0.6
1,2,0.9
1,76,0.6
1,54,0.55
1,13,0.65
1,57,0.8
1,71,0.55
7,55,0.55
1,6,0.9
1,10,0.85
35,7,0.6
1,33,0.85
54,7,0.8
54,45,0.6
54,2,0.6
54,62,0.6
54,13,0.6
1,41,0.9
1,39,0.9
1,74,0.55
35,69,0.55
35,70,0.55
1,34,0.55
74,1,0.55
1,3,0.8
1,8,0.85
1,23,0.8
1,36,0.65
1,7,0.95
23,69,0.55
41,75,0.55
62,75,0.6
60,75,0.65
28,69,0.65
76,7,0.55
39,69,0.6
39,4,0.55
39,1,0.9
39,7,0.65
39,44,0.55
39,17,0.65
81,69,0.6
45,4,0.75
45,53,0.6
45,54,0.6
45,39,0.6
45,62,0.75
83,41,0.55
2,13,0.55
6,35,0.7
26,35,0.65
69,35,0.6
28,35,0.55
41,13,0.65
51,33,0.55
57,33,0.55
7,33,0.6
56,13,0.55
70,35,0.55
13,35,0.65
1,35,0.7
17,13,0.6
33,1,0.9
33,57,0.55
33,7,0.6
33,35,0.7
33,51,0.55
