node1,node2,weight
21,93,0.9
72,21,0.55
7,21,0.75
10,21,0.9
2,21,0.75
39,21,0.6
93,21,0.9
77,21,0.75
36,21,0.6
60,21,0.55
93,61,0.65
93,62,0.65
93,96,0.6
93,81,0.6
1,21,0.8
4,1,1.0
79,35,0.55
21,3,0.85
21,2,0.75
21,1,0.9
21,60,0.75
21,8,0.95
21,36,0.6
21,7,0.75
21,39,0.6
81,93,0.65
96,93,0.6
15,93,0.55
37,93,0.6
21,77,0.75
7,1,0.85
7,5,0.55
7,88,0.75
7,13,0.55
7,64,0.75
7,29,0.6
7,72,0.6
7,62,0.8
36,78,0.6
68,64,0.55
77,39,0.65
2,39,0.9
7,39,0.75
44,39,0.55
1,39,0.9
4,39,0.55
17,39,0.55
41,64,0.55
61,77,0.7
2,77,0.6
60,77,0.7
37,77,0.55
57,64,0.75
1,81,0.55
1,68,0.6
1,60,0.9
1,41,0.9
1,64,0.65
1,2,0.9
1,76,0.6
1,71,0.55
1,34,0.55
80,64,0.55
1,10,0.85
1,4,1.0
1,15,0.55
1,54,0.55
1,31,0.6
1,7,0.95
1,51,0.55
19,64,0.65
1,5,0.7
6,5,0.6
78,1,0.55
21,10,0.9
64,68,0.55
64,57,0.65
64,7,0.65
64,41,0.55
64,1,0.65
64,94,0.55
64,80,0.55
7,54,0.75
13,1,0.9
39,1,0.9
81,1,0.55
19,1,0.95
29,1,0.7
47,1,0.6
7,68,0.65
7,76,0.55
7,19,0.75
35,79,0.55
7,28,0.6
64,3,0.55
7,56,0.65
7,4,0.7
39,69,0.6
39,44,0.55
39,17,0.65
39,45,0.55
39,7,0.65
39,2,0.9
